project_name,proponent,region,province,municipalities,project_type,power_mw,status,source,url,updated_at
"Progetto di un impianto fotovoltaico, denominato ""Impianto Fotovoltaico Bosco Cammino"", della potenza di 79,21 MWp, da realizzarsi nei comuni di Santa Maria La Fossa (CE) e Grazzanise (CE), con cavidotto in MT e Stazione elettrica RTN ""Cancello 380"" da ubicarsi nel comune di Cancello ed Arnone (CE).",Campania Solare S.r.l.,Campania,CE,"CANCELLO ED ARNONE, SANTA MARIA LA FOSSA",Verifica di Ottemperanza (PNIEC-PNRR),79.21,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8132,2026-04-26T15:20:04.620635
Impianto FER fotovoltaico - Comune di Alberona (FG) - 19.64 MW,,Puglia,FG,Alberona,Puglia VIA FER - fotovoltaico,19.64,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.362946
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto per la realizzazione di un impianto fotovoltaico a terra su terreno agricolo di potenza di picco pari a 31,418 MWp e potenza nominale pari a 26,40 MW ubicato nel comune di Ferrara (FE)",X. C. Solar S.r.l.,Emilia-Romagna,FE,Ferrara,Valutazione Impatto Ambientale (PNIEC-PNRR),31.418,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6011,2026-04-26T15:23:26.946155
Impianto FER agrivoltaico - Comune di Gravina in Puglia (BA) - 53.48 MW,,Puglia,BA,Gravina in Puglia,Puglia VIA FER - agrivoltaico,53.48,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.364907
"Impianto FER agrivoltaico - Comune di San Pancrazio Salentino (BR), San Donaci e Cellino San Marco (BR) - 53.15 MW",,Puglia,BR,"San Pancrazio Salentino (BR), San Donaci e Cellino San Marco",Puglia VIA FER - agrivoltaico,53.15,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.709032
Impianto FER fotovoltaico - Comune di Lucera (FG) - 65.7 MW,,Puglia,FG,Lucera,Puglia VIA FER - fotovoltaico,65.7,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.718702
Impianto FER fotovoltaico - Comune di Ascoli Satriano (FG) - 25.99 MW,,Puglia,FG,Ascoli Satriano,Puglia VIA FER - fotovoltaico,25.99,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.766211
Impianto FER agrivoltaico - Comune di Castellaneta (TA) - 33.28 MW,,Puglia,TA,Castellaneta,Puglia VIA FER - agrivoltaico,33.28,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.817012
"[ID 2561] - Progetto di impianto fotovoltaico a terra denominato ""Parco Fotovoltaico Vada”, con potenza nominale complessiva di 17.112,48 kWp e relative opere di connessione alla rete elettrica, sito nel Comune di Rosignano Marittimo (LI). Proponente: Parco Fotovoltaico Vada Srl.",Parco Fotovoltaico Vada,Toscana,LI,ROSIGNANO MARITTIMO,Verifica di Assoggettabilità a VIA,17.11248,in_corso,toscana,https://servizi.patti.regione.toscana.it/star-info/avvisiPubblici?id=153,2026-04-26T15:18:55.688960
"VERIFICA ASSOGGETTABILITÀ A VIA-ART. 19 DLGS 152/06 E S.M.I. “PROGETTO PER LA REALIZZAZIONE DI UN PARCO FOTOVOLTAICO DA 40MW – DENOMINATO PIETROLUPO 03 - E RELATIVE OPERE DI CONNESSIONE ALLA RTN, NEL COMUNE DI MINEO (CT) LOCALITÀ “TORRETTA MONGIALINO”",ITS MEDORA S.R.L.,Sicilia,CT,"MINEO, DI MINEO",Verifica di Assoggettabilita a VIA (art.19),40.0,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1278&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.287546
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""AGV GATTO CORVINO"", della potenza 90,6 MW e delle relative opere di connessione alla RTN, da realizzarsi nel comune di Ragusa (RG).",CVA EOS S.r.l.,Sicilia,RG,Ragusa,Valutazione Impatto Ambientale (PNIEC-PNRR),90.6,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6000,2026-04-26T15:23:26.949064
"PAUR per progetto realizzazione impianto fotovoltaico di pot. nominale installata pari a 24,99 MWp e potenza nominale di connessione pari a 24,15 MW da istallare in provincia di Avellino, nei Comuni di Scampitella e Vallata.",Orta Energy 7 srl,Campania,AV,SCAMPITELLA,PAUR,24.99,,campania,http://viavas.regione.campania.it/opencms/opencms/VIAVAS/VIA_files_new/Progetti/prg_10148_prot_2025.554130_del_23-10-2025.viavi,2026-04-26T15:19:04.501017
"Progetto per la costruzione ed esercizio di un impianto fotovoltaico, denominato ""ELLO3"", di potenza pari a 15,24 MW, comprensivo delle opere di connessione alla RTN, da realizzare nel Comune di Alessandria (AL), in località Cascina Maddalena.",ELLOMAY SOLAR ITALY THREE S.r.l.,Piemonte,AL,ALESSANDRIA,Verifica di Ottemperanza (PNIEC-PNRR),15.24,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8274,2026-04-26T15:20:04.624837
Impianto FER fotovoltaico - Comune di Cellino San Marco (BR) - 40.69 MW,,Puglia,BR,Cellino San Marco,Puglia VIA FER - fotovoltaico,40.69,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.368325
Impianto FER fotovoltaico - Comune di Foggia (FG) - 35.79 MW,,Puglia,FG,Foggia,Puglia VIA FER - fotovoltaico,35.79,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.415188
Impianto FER agrivoltaico - Comune di Cerignola (FG) - 40.07 MW,,Puglia,FG,Cerignola,Puglia VIA FER - agrivoltaico,40.07,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.818823
Impianto FER agrivoltaico - Comune di Stornarella (FG) - 24.029 MW,,Puglia,FG,Stornarella,Puglia VIA FER - agrivoltaico,24.029,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.820343
Impianto FER agrivoltaico - Comune di Lucera (FG) - 44.51 MW,,Puglia,FG,Lucera,Puglia VIA FER - agrivoltaico,44.51,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.844316
Impianto FER fotovoltaico - Comune di Altamura (BA) - 17.15 MW,,Puglia,BA,Altamura,Puglia VIA FER - fotovoltaico,17.15,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.845741
Impianto FER fotovoltaico - Comune di Francavilla Fontana (TA-BR) - 56 MW,,Puglia,TA-BR,Francavilla Fontana,Puglia VIA FER - fotovoltaico,56.0,Aperto,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.858113
"[ID 2632] Progetto per la realizzazione di un impianto fotovoltaico a terra denominato ""Santa Croce sull'Arno”, della potenza di 10.347,48 kWp e localizzato nel Comune di Santa Croce sull'Arno (PI) e Castelfranco di Sotto (PI). Proponente: CORBEZZOLO S.r.l.",CORBEZZOLO SRL,Toscana,PI,"SANTA CROCE SULL'ARNO, CASTELFRANCO DI SOTTO",Verifica di Assoggettabilità a VIA,10.34748,in_corso,toscana,https://servizi.patti.regione.toscana.it/star-info/avvisiPubblici?id=208,2026-04-26T15:18:55.686843
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, denominato ""Calabrese"", con potenza di picco pari a 35,55 MW, integrato con un sistema di accumulo da 16 MW, da realizzarsi nel comune di Nardò (LE), e delle relative opere",SOLARANTO S.r.l.,Puglia,LE,"Nardò, Galatone",Valutazione Impatto Ambientale (PNIEC-PNRR),35.55,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5970,2026-04-26T15:23:26.971888
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""Grillo"", avente potenza di 53,97 MW e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Mazara del Vallo (TP) e Marsala (TP).",ENGIE Grillo S.r.l.,Sicilia,TP,Mazara del Vallo,Valutazione Impatto Ambientale (PNIEC-PNRR),53.97,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5972,2026-04-26T15:23:26.977672
"Verifica di VIA per progetto impianto agrivoltaico con potenza in immissione pari a 1400 kWac e di potenza nominale pari a 1434,24 kWp denominato Buonabitacolo - Galatro 2",Cogefeed S.p.A.,Campania,,BUONABITACOLO,VERIFICA,1.43424,,campania,http://viavas.regione.campania.it/opencms/opencms/VIAVAS/VIA_files_new/Progetti/prg_10105_prot_2025.110360_del_04-03-2025.via,2026-04-26T15:19:04.512052
Impianto FER fotovoltaico - Comune di Santeramo in Colle (BA) - 27.09 MW,,Puglia,BA,Santeramo in Colle,Puglia VIA FER - fotovoltaico,27.09,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.438743
"Progetto di un impianto fotovoltaico avente potenza potenziale pari a 19,3 MW e delle relative opere di connessione alla rete elettrica e RTN, da realizzarsi nel Comune di Argenta (FE).",EG Colombo S.r.l.,Emilia-Romagna,FE,ARGENTA,Verifica di Ottemperanza (PNIEC-PNRR),19.3,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8376,2026-04-26T15:20:04.628531
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto fotovoltaico denominato ""Olivola"", di potenza pari a 77,99 MW e delle relative opere di connessione alla RTN, da realizzarsi nel Comune di Benevento (BN).",RWE Renewables Italia S.r.l.,Campania,BN,Benevento,Valutazione Impatto Ambientale (PNIEC-PNRR),77.99,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5955,2026-04-26T15:23:27.019852
Impianto FER agrivoltaico - Comune di Troia (FG) - 29.15 MW,,Puglia,FG,Troia,Puglia VIA FER - agrivoltaico,29.15,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.469727
Impianto FER agrivoltaico - Comune di Latiano (BR) - 26.03 MW,,Puglia,BR,Latiano,Puglia VIA FER - agrivoltaico,26.03,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.859374
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, di potenza pari a 36,77 MW, sito nel Comune di Enna (EN), in località Mulinello, e delle relative opere di connessione alla RTN, ricadenti anche nel Comune di Assoro (EN)",ENNA 3 PV S.R.L.,Sicilia,EN,"Enna, Assoro",Valutazione Impatto Ambientale (PNIEC-PNRR),36.77,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5948,2026-04-26T15:23:27.037042
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, di potenza pari a 42,79 MW, sito nel Comune di Enna (EN), in località Calderari, e delle relative opere di connessione alla RTN, ricadenti anche nei Comuni di Assoro (EN) e",ENNA 2 PV S.R.L.,Sicilia,EN,"Enna, Assoro",Valutazione Impatto Ambientale (PNIEC-PNRR),42.79,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5943,2026-04-26T15:23:27.039803
Impianto FER agrivoltaico - Comune di San Giovanni Rotondo (FG) - 32 MW,,Puglia,FG,San Giovanni Rotondo,Puglia VIA FER - agrivoltaico,32.0,Aperto,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.873178
"ARPAE: PROGETTO DI REALIZZAZIONE DI UN IMPIANTO AGRIVOLTAICO INTEGRATO CON POTENZA DI PICCO PARI A 22,25 MWP, SISTEMA DI ACCUMULO E OPERE CONNESSE ...",SUNSTORE SRL,Emilia-Romagna,,,VIA,22.25,in_corso,emilia_romagna,https://serviziambiente.regione.emilia-romagna.it/viavasweb/ricerca/dettaglio/6717,2026-04-26T15:11:38.214886
Impianto FER agrivoltaico - Comune di Gravina in Puglia (BA) - 50.11 MW,,Puglia,BA,Gravina in Puglia,Puglia VIA FER - agrivoltaico,50.11,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.892841
"[ID 2596] - Progetto di ""Impianto agrivoltaico avanzato denominato ""Grosseto” di potenza pari a 20,81 MWp e relative opere di connessione ricadenti nel Comune di Grosseto (GR)”; proponente: IREN GREEN GENERATION TECH S.r.l. [GEA 14088]",IREN GREEN GENERATION TECH S.R.L.,Toscana,GR,GROSSETO,Verifica di Assoggettabilità a VIA,20.81,Consultazione conclusa,toscana,https://servizi.patti.regione.toscana.it/star-info/avvisiPubblici?id=196,2026-04-26T15:18:55.691007
Impianto FER agrivoltaico - Comune di Apricena (FG) - 18.513 MW,,Puglia,FG,Apricena,Puglia VIA FER - agrivoltaico,18.513,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.899057
Impianto FER fotovoltaico - Comune di Foggia (FG) - 34.2 MW,,Puglia,FG,Foggia,Puglia VIA FER - fotovoltaico,34.2,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.913576
"REALIZZAZIONE DI UN IMPIANTO AGRO-FOTOVOLTAICO DA 37.688,4 KWP (33.000 KW IN IMMISSIONE) E DELLE RELATIVE OPERE PER LA CONNESSIONE ALLA RETE DI TRASMISSIONE NAZIONALE, DA REALIZZARSI NEL COMUNE DI PATERNO' (CT)",FW TURNA S.R.L,Sicilia,CT,"PATERNO', DI PATERNO'",V.I.A. (art.23 - 27bis),37.6884,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=108&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.171222
Impianto FER agrivoltaico - Comune di Troia (FG) - 32.62 MW,,Puglia,FG,Troia,Puglia VIA FER - agrivoltaico,32.62,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.481668
Impianto FER agrivoltaico - Comune di Lucera (FG) - 36.7 MW,,Puglia,FG,Lucera,Puglia VIA FER - agrivoltaico,36.7,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.484836
Impianto FER agrivoltaico - Comune di Foggia (FG) - 38.002 MW,,Puglia,FG,Foggia,Puglia VIA FER - agrivoltaico,38.002,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.924167
Impianto FER fotovoltaico - Comune di Foggia (FG) - 90 MW,,Puglia,FG,Foggia,Puglia VIA FER - fotovoltaico,90.0,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.925779
Impianto FER agrivoltaico - Comune di Orta Nova (FG) - 47.83 MW,,Puglia,FG,Orta Nova,Puglia VIA FER - agrivoltaico,47.83,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.928677
"[ID 2581] - Art. 19 del D.Lgs. 152/2006 ed art. 48 della L.R. 10/2010. Verifica di assoggettabilita' relativo al progetto per la realizzazione di un impianto agrivoltaico denominato ""Le Case” di potenza pari a 17,44 MWp e relative opere di connessione alla rete elettrica nazionale, sito nel Comune di Scarlino (GR). Proponente: ReRe 57 S.r.l.",RERE 57 S.R.L.,Toscana,GR,SCARLINO,Verifica di Assoggettabilità a VIA,17.44,Consultazione conclusa,toscana,https://servizi.patti.regione.toscana.it/star-info/avvisiPubblici?id=169,2026-04-26T15:18:55.699443
"[ID 2579] Progetto di realizzazione di impianto agrivoltaico avanzato ""La Maremmana"" da 49 MWp con sistema di accumulo BESS da 18 MW, nel Comune di Grosseto (GR). Proponente: Naturgy Rinnovabili Italia S.r.l.",Naturgy Rinnovabili Italia S.r.l.,Toscana,GR,GROSSETO,Verifica di Assoggettabilità a VIA,49.0,Consultazione conclusa,toscana,https://servizi.patti.regione.toscana.it/star-info/avvisiPubblici?id=167,2026-04-26T15:18:55.700976
"S, IMPIANTO FOTOVOLTAICO Fossano Solar 2, TECNO RG S.R.L., FOSSANO CN, ZPS IT 1160059 ZONE UMIDE DI FOSSANO E SANT'ALBANO STURA, ANCHE PARCO",TECNO RG S.R.L,Piemonte,,FOSSANO,Valutazione di incidenza,,CONCLUSA,piemonte,http://www.sistemapiemonte.it/skvia/HomePage.do?ricerca=ArchivioProgetti,2026-04-26T15:19:03.825562
Impianto FER fotovoltaico - Comune di Manfredonia (FG) - 49.912 MW,,Puglia,FG,Manfredonia,Puglia VIA FER - fotovoltaico,49.912,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.502454
"Q, FOTOVOLTAICO, SOC AGR PIGNATA, SANFRè FRAZ. ACATTE, ZSC IT 1110012 BOSCHI E ROCCHE DEL ROERO",SOC AGR PIGNATA,Piemonte,,SANFRE',Valutazione di incidenza,,CONCLUSA,piemonte,http://www.sistemapiemonte.it/skvia/HomePage.do?ricerca=ArchivioProgetti,2026-04-26T15:19:03.822191
"Progetto di un impianto fotovoltaico denominato ""Samnium"", di potenza complessiva pari a 35,3 MW e dalle relative opere di connessione alla RTN, situato nei comuni di Candela (FG) e Ascoli Satriano (FG).",Samnium Solar S.r.l.,Puglia,FG,CANDELA,Verifica di Assoggettabilità a VIA (PNIEC-PNRR),35.3,Verifica di Assoggettabilità a VIA (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/12003,2026-04-26T15:20:04.636167
Impianto FER agrivoltaico - Comune di Guagnano (LE) - 11.467 MW,,Puglia,LE,Guagnano,Puglia VIA FER - agrivoltaico,11.467,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.503932
Determinazione del Dirigente Sezione Transizione Energetica n. 91 del 2 Aprile 2026,NORMA s.r.l,Puglia,FG,Bovino,Autorizzazione Unica,8.0,Autorizzazione Unica - Pubblicato 16 Aprile 2026,sistema_puglia_energia,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=64132,2026-04-26T15:16:59.747997
Determinazione del Dirigente Sezione Transizione Energetica n. 90 del 1 Aprile 2026,Serracapriola S.r.l,Puglia,FG,Serracapriola,Autorizzazione Unica,26.12,Autorizzazione Unica - Pubblicato 14 Aprile 2026,sistema_puglia_energia,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=64126,2026-04-26T15:16:59.756211
Determinazione del Dirigente Sezione Transizione Energetica n. 84 del 30 Marzo 2026,ELETTRASOL S.R.L,Puglia,BR,,Autorizzazione Unica,48.888,Autorizzazione Unica - Pubblicato 14 Aprile 2026,sistema_puglia_energia,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=64125,2026-04-26T15:16:59.761985
Determinazione del Dirigente Sezione Transizione Energetica n. 82 del 27 Marzo 2026,MYT SAN PANCRAZIO SALENTINO S.r.l,Puglia,BR,"San Pancrazio Salentino, Erchie",Autorizzazione Unica,27.32,Autorizzazione Unica - Pubblicato 09 Aprile 2026,sistema_puglia_energia,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=64119,2026-04-26T15:16:59.767804
Determinazione del Dirigente Sezione Transizione Energetica n. 81 del 27 Marzo 2026,Decima s.r.l,Puglia,LE,Lecce,Autorizzazione Unica,1.255,Autorizzazione Unica - Pubblicato 09 Aprile 2026,sistema_puglia_energia,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=64118,2026-04-26T15:16:59.772862
Determinazione del Dirigente Sezione Transizione Energetica n. 78 del 20 Marzo 2026,Legione Allievi della Guardia di Finanza,Puglia,BA,Bari,Atto energia Regione Puglia,4.359,Atto energia Regione Puglia - Pubblicato 03 Aprile 2026,sistema_puglia_energia,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=64107,2026-04-26T15:16:59.778672
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""LENTINI1"" di potenza pari a 60,01 MW e delle relative opere di connessione alla RTN, da realizzarsi nei Comuni di Lentini (SR) e Palagonia (CT).",IBERDROLA RENOVABLES ITALIA S.p.A,Sicilia,CT,Lentini,Valutazione Impatto Ambientale (PNIEC-PNRR),60.01,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5961,2026-04-26T15:23:26.992943
"Valutazione Impatto Ambientale (PNIEC-PNRR): Parco Agrovoltaico con impianto di accumulo e delle opere connesse denominato ""Pecciapertosa"", della potenza complessiva di 22,57 MW, nei comuni di Castronovo di Sicilia e Lercara Friddi (PA)",ND-THREE S.R.L.,Sicilia,PA,"Castronovo di Sicilia, Lercara Friddi",Valutazione Impatto Ambientale (PNIEC-PNRR),22.57,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5923,2026-04-26T15:23:27.138027
Impianto FER fotovoltaico - Comune di Apricena (FG) - 83.16 MW,,Puglia,FG,Apricena,Puglia VIA FER - fotovoltaico,83.16,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.231385
Determinazione del Dirigente Sezione Transizione Energetica n. 1 dell'11 Gennaio 2026,Whysol-E Sviluppo S.r.l,Puglia,FG,Candela,Autorizzazione Unica,43.0,Autorizzazione Unica - Pubblicato 05 Febbraio 2026,sistema_puglia_energia,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63931,2026-04-26T15:16:59.810319
Impianto FER agrivoltaico - Comune di Castelluccio dei Sauri (FG) - 75.053 MW,,Puglia,FG,Castelluccio dei Sauri,Puglia VIA FER - agrivoltaico,75.053,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.509021
